Country,Is there legislation that specifically addresses domestic violence?,Is there a specialized court or procedure for cases of domestic violence?,Does domestic violence legislation protect women in unmarried intimate relationships?,Does domestic violence legislation include emotional abuse?,Does domestic violence legislation include financial abuse?,Does domestic violence legislation include physical abuse?,Does domestic violence legislation include sexual abuse?
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Algeria,No,No,No,No,No,No,No
Angola,Yes,No,No,Yes,Yes,Yes,Yes
Argentina,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Armenia,No,No,No,No,No,No,No
Australia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Austria,,,,,,,
Azerbaijan,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bangladesh,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Belarus,,,,,,,
Belgium,,,,,,,
Benin,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bolivia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bosnia and Herzegovina,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Botswana,,,,,,,
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bulgaria,,,,,,,
Burkina Faso,No,No,No,No,No,No,No
Burundi,,,,,,,
Cambodia,Yes,No,Yes,Yes,No,Yes,Yes
Cameroon,No,No,No,No,No,No,No
Canada,No,Yes,No,No,No,No,No
Chad,,,,,,,
Chile,Yes,Yes,Yes,Yes,No,Yes,No
China,Yes,No,Yes,Yes,No,Yes,No
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Congo, Dem. Rep.",No,No,No,No,No,No,No
"Congo, Rep.",,,,,,,
Costa Rica,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Côte d'Ivoire,No,No,No,No,No,No,No
Croatia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Czech Republic,,,,,,,
Denmark,Yes,No,No,No,No,Yes,No
Dominican Republic,,,,,,,
Ecuador,Yes,Yes,Yes,Yes,No,Yes,Yes
"Egypt, Arab Rep.",No,No,No,No,No,No,No
El Salvador,Yes,Yes,Yes,Yes,No,Yes,Yes
Estonia,,,,,,,
Ethiopia,Yes,No,Yes,Yes,No,Yes,No
Fiji,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Finland,Yes,Yes,Yes,No,No,Yes,No
France,Yes,Yes,Yes,Yes,No,Yes,Yes
Gabon,,,,,,,
Georgia,,,,,,,
Germany,Yes,Yes,Yes,No,No,Yes,No
Ghana,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Greece,,,,,,,
Guatemala,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Guinea,,,,,,,
Haiti,No,No,No,No,No,No,No
Honduras,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Hong Kong SAR, China",,,,,,,
Hungary,,,,,,,
Iceland,,,,,,,
India,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Indonesia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Iran, Islamic Rep.",No,Yes,No,No,No,No,No
Ireland,,,,,,,
Israel,,,,,,,
Italy,Yes,No,Yes,Yes,No,Yes,Yes
Jamaica,Yes,No,Yes,Yes,Yes,Yes,No
Japan,Yes,Yes,Yes,Yes,No,Yes,No
Jordan,Yes,No,No,No,No,No,No
Kazakhstan,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kenya,No,No,No,No,No,No,No
"Korea, Rep.",Yes,Yes,Yes,Yes,Yes,Yes,No
Kosovo,,,,,,,
Kuwait,,,,,,,
Kyrgyz Republic,,,,,,,
Lao PDR,,,,,,,
Latvia,No,No,No,No,No,No,No
Lebanon,No,No,No,No,No,No,No
Lesotho,No,No,No,No,No,No,No
Liberia,,,,,,,
Lithuania,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Macedonia, FYR",Yes,No,Yes,Yes,No,Yes,Yes
Madagascar,Yes,No,No,No,No,Yes,No
Malawi,Yes,No,Yes,Yes,Yes,Yes,Yes
Malaysia,Yes,No,Yes,Yes,Yes,Yes,Yes
Mali,No,No,No,No,No,No,No
Mauritania,,,,,,,
Mauritius,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mexico,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Moldova,,,,,,,
Mongolia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Montenegro,,,,,,,
Morocco,Yes,Yes,No,No,No,Yes,No
Mozambique,Yes,No,Yes,Yes,Yes,Yes,Yes
Namibia,Yes,No,Yes,Yes,Yes,Yes,Yes
Nepal,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Netherlands,,,,,,,
New Zealand,,,,,,,
Nicaragua,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Niger,No,No,No,No,No,No,No
Nigeria,Yes,No,Yes,Yes,Yes,Yes,Yes
Norway,,,,,,,
Oman,,,,,,,
Pakistan,No,No,No,No,No,No,No
Panama,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Papua New Guinea,,,,,,,
Paraguay,Yes,Yes,Yes,Yes,No,Yes,Yes
Peru,Yes,Yes,Yes,Yes,No,Yes,No
Philippines,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Poland,Yes,No,Yes,Yes,Yes,Yes,Yes
Portugal,Yes,Yes,Yes,Yes,Yes,Yes,No
Puerto Rico (U.S.),,,,,,,
Romania,Yes,Yes,Yes,Yes,No,Yes,Yes
Russian Federation,No,No,No,No,No,No,No
Rwanda,Yes,Yes,No,Yes,Yes,Yes,Yes
Saudi Arabia,No,No,No,No,No,No,No
Senegal,Yes,No,No,No,No,Yes,No
Serbia,Yes,No,Yes,Yes,No,Yes,No
Sierra Leone,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Singapore,Yes,Yes,Yes,Yes,No,Yes,No
Slovak Republic,,,,,,,
Slovenia,,,,,,,
South Africa,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Spain,Yes,Yes,Yes,Yes,No,Yes,Yes
Sri Lanka,Yes,Yes,Yes,Yes,No,Yes,Yes
Sudan,,,,,,,
Sweden,Yes,No,Yes,Yes,No,Yes,Yes
Switzerland,Yes,Yes,Yes,Yes,No,Yes,Yes
Syrian Arab Republic,No,No,No,No,No,No,No
"Taiwan, China",,Yes,,,,,
Tajikistan,,,,,,,
Tanzania,,,,,,,
Thailand,Yes,Yes,Yes,Yes,No,Yes,No
Togo,,,,,,,
Tunisia,No,No,No,No,No,Yes,No
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Uganda,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ukraine,Yes,No,No,Yes,Yes,Yes,Yes
United Arab Emirates,,,,,,,
United Kingdom,Yes,Yes,Yes,Yes,No,Yes,No
United States,Yes,Yes,Yes,Yes,No,Yes,Yes
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Uzbekistan,No,No,No,No,No,No,No
"Venezuela, RB",Yes,Yes,Yes,Yes,Yes,Yes,Yes
Vietnam,,,,,,,
West Bank and Gaza,,,,,,,
"Yemen, Rep.",No,No,No,No,No,No,No
Zambia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zimbabwe,Yes,Yes,Yes,Yes,Yes,Yes,Yes
