Country,Is there legislation that specifically addresses sexual harassment?,Are there criminal sanctions for sexual harassment?,Is there a governmental office tasked with addressing sexual harassment?,Is there legislation on sexual harassment in education?,Is there legislation on sexual harassment in employment?,Is there legislation on sexual harassment in public spaces?,Is there legislation on sexual harassment in service provision?,Are there criminal sanctions for sexual harassment in employment?
Albania,Yes,Yes,No,Yes,Yes,No,No,Yes
Algeria,Yes,Yes,No,No,Yes,No,No,Yes
Angola,Yes,Yes,No,No,Yes,No,No,Yes
Argentina,Yes,No,No,Yes,No,No,No,No
Armenia,Yes,No,Yes,No,Yes,No,No,No
Australia,Yes,No,Yes,Yes,Yes,No,Yes,No
Austria,,,,,,,,
Azerbaijan,Yes,No,Yes,No,Yes,No,No,No
Bangladesh,Yes,Yes,No,Yes,Yes,Yes,No,No
Belarus,,,,,,,,
Belgium,,,,,,,,
Benin,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Bolivia,Yes,Yes,No,Yes,Yes,No,No,Yes
Bosnia and Herzegovina,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Botswana,,,,,,,,
Brazil,Yes,Yes,Yes,No,Yes,No,No,Yes
Bulgaria,,,,,,,,
Burkina Faso,Yes,Yes,No,No,Yes,No,No,Yes
Burundi,,,,,,,,
Cambodia,Yes,Yes,No,No,Yes,No,No,Yes
Cameroon,No,No,No,No,No,No,No,No
Canada,Yes,No,Yes,No,Yes,Yes,Yes,No
Chad,,,,,,,,
Chile,Yes,No,Yes,No,Yes,No,No,No
China,Yes,No,No,No,Yes,No,No,No
Colombia,Yes,Yes,Yes,No,Yes,No,No,Yes
"Congo, Dem. Rep.",Yes,Yes,No,No,Yes,No,No,Yes
"Congo, Rep.",,,,,,,,
Costa Rica,Yes,No,Yes,Yes,Yes,No,No,No
Côte d'Ivoire,Yes,Yes,No,No,Yes,No,No,Yes
Croatia,Yes,Yes,Yes,Yes,Yes,No,No,No
Czech Republic,,,,,,,,
Denmark,Yes,No,Yes,No,Yes,No,No,No
Dominican Republic,,,,,,,,
Ecuador,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
"Egypt, Arab Rep.",No,No,No,No,No,No,No,No
El Salvador,Yes,Yes,No,Yes,Yes,No,No,Yes
Estonia,,,,,,,,
Ethiopia,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Fiji,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Finland,Yes,Yes,Yes,Yes,Yes,No,No,Yes
France,Yes,Yes,Yes,No,Yes,No,No,Yes
Gabon,,,,,,,,
Georgia,,,,,,,,
Germany,Yes,No,Yes,No,Yes,No,No,No
Ghana,No,No,No,No,No,No,No,No
Greece,,,,,,,,
Guatemala,No,No,No,No,No,No,No,No
Guinea,,,,,,,,
Haiti,No,No,No,No,No,No,No,No
